,Todays Amount,Todays Result,Total Amount
682,-212.5,0,3000.0
683,112.5,1,3112.5
684,100.0,1,3212.5
685,112.5,1,3325.0
686,100.0,1,3425.0
687,-200.0,0,3225.0
688,-200.0,0,3025.0
689,112.5,1,3137.5
690,125.0,1,3262.5
691,100.0,1,3362.5
692,100.0,1,3462.5
693,-200.0,0,3262.5
694,137.5,1,3400.0
695,-200.0,0,3200.0
696,-212.5,0,2987.5
697,-200.0,0,2787.5
698,100.0,1,2887.5
699,-200.0,0,2687.5
700,112.5,1,2800.0
701,112.5,1,2912.5
702,100.0,1,3012.5
703,100.0,1,3112.5
704,112.5,1,3225.0
705,100.0,1,3325.0
706,-200.0,0,3125.0
707,112.5,1,3237.5
708,112.5,1,3350.0
709,-212.5,0,3137.5
710,100.0,1,3237.5
711,-212.5,0,3025.0
712,-212.5,0,2812.5
713,100.0,1,2912.5
714,112.5,1,3025.0
715,-200.0,0,2825.0
716,100.0,1,2925.0
717,112.5,1,3037.5
718,125.0,1,3162.5
719,-200.0,0,2962.5
720,137.5,1,3100.0
721,100.0,1,3200.0
722,-200.0,0,3000.0
723,112.5,1,3112.5
724,100.0,1,3212.5
725,100.0,1,3312.5
726,112.5,1,3425.0
727,100.0,1,3525.0
728,100.0,1,3625.0
729,100.0,1,3725.0
730,112.5,1,3837.5
731,112.5,1,3950.0
732,112.5,1,4062.5
733,112.5,1,4175.0
734,100.0,1,4275.0
735,-212.5,0,4062.5
736,-200.0,0,3862.5
737,100.0,1,3962.5
738,100.0,1,4062.5
739,112.5,1,4175.0
740,187.5,1,4362.5
741,100.0,1,4462.5
742,100.0,1,4562.5
743,-200.0,0,4362.5
744,137.5,1,4500.0
745,112.5,1,4612.5
746,112.5,1,4725.0
747,-200.0,0,4525.0
748,125.0,1,4650.0
749,100.0,1,4750.0
750,100.0,1,4850.0
751,112.5,1,4962.5
752,100.0,1,5062.5
753,112.5,1,5175.0
754,-200.0,0,4975.0
755,112.5,1,5087.5
756,-225.0,0,4862.5
757,125.0,1,4987.5
758,-212.5,0,4775.0
759,-200.0,0,4575.0
760,100.0,1,4675.0
761,112.5,1,4787.5
762,-212.5,0,4575.0
763,100.0,1,4675.0
764,112.5,1,4787.5
765,100.0,1,4887.5
766,100.0,1,4987.5
767,-200.0,0,4787.5
768,100.0,1,4887.5
769,-200.0,0,4687.5
770,-200.0,0,4487.5
771,137.5,1,4625.0
772,100.0,1,4725.0
773,100.0,1,4825.0
774,125.0,1,4950.0
775,112.5,1,5062.5
776,100.0,1,5162.5
777,-200.0,0,4962.5
778,100.0,1,5062.5
779,162.5,1,5225.0
780,100.0,1,5325.0
781,112.5,1,5437.5
782,100.0,1,5537.5
783,-212.5,0,5325.0
784,-212.5,0,5112.5
785,100.0,1,5212.5
786,112.5,1,5325.0
787,112.5,1,5437.5
788,-200.0,0,5237.5
789,125.0,1,5362.5
790,-200.0,0,5162.5
791,100.0,1,5262.5
792,137.5,1,5400.0
793,112.5,1,5512.5
794,-200.0,0,5312.5
795,-212.5,0,5100.0
796,100.0,1,5200.0
797,100.0,1,5300.0
798,112.5,1,5412.5
799,100.0,1,5512.5
800,100.0,1,5612.5
801,-212.5,0,5400.0
802,100.0,1,5500.0
803,100.0,1,5600.0
804,100.0,1,5700.0
805,112.5,1,5812.5
806,125.0,1,5937.5
807,137.5,1,6075.0
808,100.0,1,6175.0
809,100.0,1,6275.0
810,100.0,1,6375.0
811,100.0,1,6475.0
812,137.5,1,6612.5
813,100.0,1,6712.5
814,100.0,1,6812.5
815,112.5,1,6925.0
816,112.5,1,7037.5
817,112.5,1,7150.0
818,-200.0,0,6950.0
819,112.5,1,7062.5
820,100.0,1,7162.5
821,112.5,1,7275.0
822,100.0,1,7375.0
823,137.5,1,7512.5
824,100.0,1,7612.5
825,137.5,1,7750.0
826,125.0,1,7875.0
827,112.5,1,7987.5
828,100.0,1,8087.5
829,112.5,1,8200.0
830,112.5,1,8312.5
831,-200.0,0,8112.5
832,100.0,1,8212.5
833,112.5,1,8325.0
834,-212.5,0,8112.5
835,100.0,1,8212.5
836,-200.0,0,8012.5
837,-225.0,0,7787.5
838,-200.0,0,7587.5
839,100.0,1,7687.5
840,112.5,1,7800.0
841,-200.0,0,7600.0
842,112.5,1,7712.5
843,112.5,1,7825.0
844,125.0,1,7950.0
845,100.0,1,8050.0
846,100.0,1,8150.0
847,-200.0,0,7950.0
848,100.0,1,8050.0
849,-200.0,0,7850.0
850,-200.0,0,7650.0
851,-200.0,0,7450.0
852,-200.0,0,7250.0
853,125.0,1,7375.0
854,125.0,1,7500.0
855,112.5,1,7612.5
856,-200.0,0,7412.5
857,100.0,1,7512.5
858,112.5,1,7625.0
859,137.5,1,7762.5
860,-212.5,0,7550.0
861,-200.0,0,7350.0
862,100.0,1,7450.0
863,100.0,1,7550.0
864,-200.0,0,7350.0
865,-212.5,0,7137.5
866,112.5,1,7250.0
867,112.5,1,7362.5
868,100.0,1,7462.5
869,-200.0,0,7262.5
870,137.5,1,7400.0
871,100.0,1,7500.0
872,112.5,1,7612.5
873,112.5,1,7725.0
874,-200.0,0,7525.0
875,112.5,1,7637.5
876,-237.5,0,7400.0
877,-237.5,0,7162.5
878,100.0,1,7262.5
879,-200.0,0,7062.5
880,-212.5,0,6850.0
881,100.0,1,6950.0
882,125.0,1,7075.0
883,100.0,1,7175.0
884,100.0,1,7275.0
885,-200.0,0,7075.0
886,112.5,1,7187.5
887,-200.0,0,6987.5
888,-200.0,0,6787.5
889,-200.0,0,6587.5
890,112.5,1,6700.0
891,125.0,1,6825.0
892,-200.0,0,6625.0
893,-212.5,0,6412.5
894,112.5,1,6525.0
895,-225.0,0,6300.0
896,100.0,1,6400.0
897,112.5,1,6512.5
898,100.0,1,6612.5
899,-200.0,0,6412.5
900,-200.0,0,6212.5
901,100.0,1,6312.5
902,125.0,1,6437.5
903,-200.0,0,6237.5
904,100.0,1,6337.5
905,100.0,1,6437.5
906,-212.5,0,6225.0
907,112.5,1,6337.5
908,100.0,1,6437.5
909,-200.0,0,6237.5
910,112.5,1,6350.0
911,112.5,1,6462.5
912,112.5,1,6575.0
913,-200.0,0,6375.0
914,100.0,1,6475.0
915,100.0,1,6575.0
916,100.0,1,6675.0
917,100.0,1,6775.0
918,100.0,1,6875.0
919,-225.0,0,6650.0
920,100.0,1,6750.0
921,137.5,1,6887.5
922,112.5,1,7000.0
923,100.0,1,7100.0
924,100.0,1,7200.0
925,100.0,1,7300.0
926,112.5,1,7412.5
927,-212.5,0,7200.0
928,100.0,1,7300.0
929,100.0,1,7400.0
930,100.0,1,7500.0
931,112.5,1,7612.5
932,100.0,1,7712.5
933,-212.5,0,7500.0
934,112.5,1,7612.5
935,100.0,1,7712.5
936,125.0,1,7837.5
937,112.5,1,7950.0
938,112.5,1,8062.5
939,112.5,1,8175.0
940,112.5,1,8287.5
941,112.5,1,8400.0
942,137.5,1,8537.5
943,-200.0,0,8337.5
944,100.0,1,8437.5
945,100.0,1,8537.5
946,-200.0,0,8337.5
947,-225.0,0,8112.5
948,100.0,1,8212.5
949,-225.0,0,7987.5
950,112.5,1,8100.0
951,100.0,1,8200.0
952,100.0,1,8300.0
953,100.0,1,8400.0
954,100.0,1,8500.0
955,100.0,1,8600.0
956,137.5,1,8737.5
957,100.0,1,8837.5
958,112.5,1,8950.0
959,112.5,1,9062.5
960,-225.0,0,8837.5
961,137.5,1,8975.0
962,100.0,1,9075.0
963,100.0,1,9175.0
964,100.0,1,9275.0
965,100.0,1,9375.0
966,125.0,1,9500.0
967,100.0,1,9600.0
968,-225.0,0,9375.0
969,-200.0,0,9175.0
970,112.5,1,9287.5
971,100.0,1,9387.5
972,-200.0,0,9187.5
973,100.0,1,9287.5
974,-212.5,0,9075.0
975,100.0,1,9175.0
976,-212.5,0,8962.5
977,112.5,1,9075.0
978,-212.5,0,8862.5
979,112.5,1,8975.0
980,100.0,1,9075.0
981,-212.5,0,8862.5
982,112.5,1,8975.0
983,-200.0,0,8775.0
984,125.0,1,8900.0
985,112.5,1,9012.5
986,125.0,1,9137.5
987,137.5,1,9275.0
988,100.0,1,9375.0
989,-200.0,0,9175.0
990,100.0,1,9275.0
991,112.5,1,9387.5
992,-200.0,0,9187.5
993,-212.5,0,8975.0
994,112.5,1,9087.5
995,137.5,1,9225.0
996,125.0,1,9350.0
997,100.0,1,9450.0
998,112.5,1,9562.5
999,100.0,1,9662.5
1000,-200.0,0,9462.5
1001,112.5,1,9575.0
1002,100.0,1,9675.0
1003,112.5,1,9787.5
1004,112.5,1,9900.0
1005,100.0,1,10000.0
1006,-200.0,0,9800.0
1007,125.0,1,9925.0
1008,112.5,1,10037.5
1009,100.0,1,10137.5
1010,-200.0,0,9937.5
1011,137.5,1,10075.0
1012,112.5,1,10187.5
1013,112.5,1,10300.0
1014,-200.0,0,10100.0
1015,-212.5,0,9887.5
1016,-200.0,0,9687.5
1017,-212.5,0,9475.0
1018,112.5,1,9587.5
1019,100.0,1,9687.5
1020,100.0,1,9787.5
1021,112.5,1,9900.0
1022,112.5,1,10012.5
1023,-200.0,0,9812.5
1024,-212.5,0,9600.0
1025,100.0,1,9700.0
1026,100.0,1,9800.0
1027,125.0,1,9925.0
1028,-225.0,0,9700.0
1029,-212.5,0,9487.5
1030,125.0,1,9612.5
1031,-200.0,0,9412.5
1032,-200.0,0,9212.5
1033,100.0,1,9312.5
1034,-212.5,0,9100.0
1035,100.0,1,9200.0
1036,112.5,1,9312.5
1037,-200.0,0,9112.5
1038,112.5,1,9225.0
1039,137.5,1,9362.5
1040,112.5,1,9475.0
1041,-212.5,0,9262.5
1042,-212.5,0,9050.0
1043,100.0,1,9150.0
