Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[3, 5]",H,"[3, 5, 2, 6, 7]",23,10,[10.],10,L,137.5,1,0.6
"[4, 10]",H,"[4, 10, 3]",17,7,[7. 8. 3.],18,L,112.5,5,3.0
"[4, 9]",S,"[4, 9]",13,3,[ 3. 10.  2. 10.],25,W,137.5,8,5.1
"[5, 5]",H,"[5, 5, 10]",20,10,[10.  7.],17,W,387.5,9,6.2
"[10, 10]",S,"[10, 10]",20,10,[10.  6.  8.],24,W,637.5,10,7.4
"[8, 8]",SP,"[array([8, 3, 9]), array([ 8, 10])]","[20, 18]",9,[9. 5. 9.],23,"['SW', 'SW']",1162.5,8,6.4
"[111, 10]",PBJ,"[111, 10]",21,6,[6. 2.],8,W,1200.0,9,6.4
"[4, 111]",H,"[4, 111, 10, 4]",19,111,[111.   9.],20,L,950.0,9,8.8
"[4, 10]",H,"[4, 10, 10]",24,10,[10.],10,L,925.0,0,0
"[10, 10]",S,"[10, 10]",20,6,[ 6. 10.  4.],20,P,925.0,-2,-1.0
"[8, 111]",S,"[8, 111]",19,2,[ 2.  6.  4. 10.],22,W,950.0,-3,-1.6
"[2, 3]",H,"[2, 3, 9]",14,6,[ 6. 10. 10.],26,W,975.0,-2,-1.2
"[8, 111]",S,"[8, 111]",19,8,[8. 5. 7.],20,L,950.0,-1,-0.6
"[10, 111]",PBJ,"[10, 111]",21,6,[ 6. 10.],16,W,987.5,0,0.0
"[2, 5]",H,"[2, 5, 2, 10]",19,9,[9. 5. 9.],23,W,1012.5,-2,-1.4
"[3, 5]",H,"[3, 5, 10]",18,6,[6. 7. 3. 2.],18,P,1012.5,1,0.8
"[10, 6]",H,"[10, 6, 4]",20,7,[  7. 111.],18,W,1037.5,6,5.2
"[8, 4]",H,"[8, 4, 3, 9]",24,10,[10.],10,L,787.5,7,6.6
"[7, 5]",S,"[7, 5]",12,4,[  4.   5. 111.],20,L,762.5,0,0
"[2, 8]",D,"[2, 8, 10]",20,7,[  7.   9. 111.],17,W,812.5,3,1.6
"[111, 9]",S,"[111, 9]",20,8,[ 8.  8. 10.],26,W,862.5,3,1.7
"[9, 2]",D,"[9, 2, 3]",14,10,[10. 10.],20,L,812.5,1,0.6
"[9, 10]",S,"[9, 10]",19,7,[ 7.  2. 10.],19,P,812.5,1,0.6
"[8, 7]",S,"[8, 7]",15,3,[ 3.  6. 10.],19,L,787.5,1,0.7
"[9, 10]",S,"[9, 10]",19,10,[ 10. 111.],21,L,762.5,3,2.1
"[5, 2]",H,"[5, 2, 111]",18,4,[ 4. 10.  4.],18,P,762.5,0,0.0
"[10, 9]",S,"[10, 9]",19,6,[ 6. 10.  5.],21,L,737.5,2,1.7
"[10, 10]",S,"[10, 10]",20,10,[ 10. 111.],21,L,712.5,2,1.8
"[10, 5]",H,"[10, 5, 8]",23,10,[10.],10,L,687.5,-2,-1.9
"[3, 8]",D,"[3, 8, 10]",21,10,[10. 10.],20,W,737.5,0,0
"[10, 10]",S,"[10, 10]",20,4,[ 4.  9. 10.],23,W,762.5,-2,-1.1
"[6, 10]",S,"[6, 10]",16,3,[  3. 111.   4.],18,L,737.5,-4,-2.2
"[10, 2]",H,"[10, 2, 2, 10]",24,9,[9.],9,L,712.5,-3,-1.8
"[10, 7]",S,"[10, 7]",17,111,[111.  10.],21,L,687.5,-3,-1.9
"[3, 111]",H,"[3, 111, 2, 9, 5]",20,10,[10.  7.],17,W,712.5,-5,-3.2
"[5, 9]",S,"[5, 9]",14,5,[5. 5. 9.],19,L,687.5,-3,-2.1
"[111, 10]",PBJ,"[111, 10]",21,10,[10. 10.],20,W,725.0,0,0.0
"[2, 6]",H,"[2, 6, 8, 4]",20,111,[111.   2.   6.],19,W,750.0,-4,-3.2
"[10, 9]",S,"[10, 9]",19,3,[3. 7. 9.],19,P,750.0,0,0.0
"[9, 4]",S,"[9, 4]",13,4,[ 4.  7. 10.],21,L,725.0,1,1.0
"[9, 4]",H,"[9, 4, 5]",18,10,[10.  6.  9.],25,W,750.0,0,0
"[2, 10]",H,"[2, 10, 10]",22,9,[9.],9,L,725.0,2,1.1
"[3, 2]",H,"[3, 2, 3, 9]",17,4,[4. 8. 9.],21,L,700.0,1,0.6
"[10, 9]",S,"[10, 9]",19,6,[ 6.  9. 10.],25,W,725.0,5,3.0
"[10, 4]",H,"[10, 4, 5]",19,10,[10. 10.],20,L,625.0,4,2.5
"[4, 5]",D,"[4, 5, 7]",16,6,[ 6.  7. 10.],23,W,675.0,3,2.0
"[6, 10]",H,"[6, 10, 10]",26,10,[10.],10,L,450.0,7,5.1
"[10, 2]",H,"[10, 2, 3, 2]",17,7,[ 7. 10.],17,P,450.0,5,3.9
"[10, 7]",S,"[10, 7]",17,111,[111.   8.],19,L,425.0,7,6.0
"[10, 10]",S,"[10, 10]",20,8,[8. 6. 4.],18,W,450.0,6,5.5
"[3, 6]",H,"[3, 6, 5, 111, 111, 5]",21,10,[10.  2.  7.],19,W,700.0,6,6.0
